Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",,2017,4,April,145,0,7
B02747,LEGEND LUXURY LIMO INC.,,2016,1,January,2700,0,35
B01739,CITY CAR SERVICE CORP,DIGITAL CAR SERVICE,2016,6,June,1396,0,11
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,,2017,8,August,302,0,3
B02834,811 TRANSIT CORP,,2021,1,January,1974,0,7
B02249,"LA RAZA CAR SERVICE, INC.",,2017,2,February,6448,0,51
B02759,"LAPUMA TRANSPORTATION GROUP,LLC",LAPUMA,2016,9,September,23,0,17
B03356,UNIK TRANSPORTATION INC.,,2022,2,February,2,0,1
B02653,NEW COLLEGE CAR SVCE INC,,2016,3,March,22106,0,100
B02418,PLUSH SERVICES CORP,,2016,1,January,263,0,13
B00919,HARLEM CARS INC.,,2018,2,February,9301,0,63
B01389,METRO LUXURY INC,,2019,7,July,1150,0,10
B02925,SIGNATURE BLACK CAR LLC,,2019,8,August,544,0,20
B03060,EASTLAND BLACK CARS CORP,,2021,11,November,7968,0,38
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2017,6,June,75,0,10
B02472,NEW BUSHWICK LUXURY INC.,,2020,7,July,63,0,10
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2019,3,March,1207,0,4
B00310,WATSON CAR SERVICE INC.,,2019,11,November,30724,0,166
B02551,CHIEF LIMO INC.,,2016,6,June,341,0,7
B02898,SANO CAR LLC,,2021,11,November,1455,0,13
B02472,NEW BUSHWICK LUXURY INC.,,2019,2,February,7104,0,39
B03309,NYC LIMOUSINE VIP LLC.,NYC LIMOUSINE VVVIP LLC.,2021,9,September,1917,0,141
B01362,AMERICAN BASE NO.1 INC.,,2018,6,June,7555,0,52
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2021,7,July,535,0,2
B01984,NY 88 EXPRESS CORP.,,2019,4,April,24690,0,132
B02849,BROOKLYN RIDES CORP,,2019,4,April,17898,0,133
B03047,"STS LUXURY, INC",,2021,5,May,1917,0,37
B00196,NEW EASY WAY RADIO DISP INC,,2019,7,July,113,0,5
B00227,"PARK WEST EXEC. SERVICES, INC.",TOWN CARS,2020,8,August,1306,0,39
